Year,Month,Gold_Price_INR_per_10g
2019,1,34190
2019,2,34700
2019,3,35220
2019,4,35750
2019,5,36080
2019,6,36420
2019,7,36830
2019,8,37210
2019,9,36970
2019,10,37450
2019,11,37890
2019,12,38120
2020,1,38150
2020,2,38720
2020,3,39300
2020,4,39560
2020,5,40020
2020,6,40500
2020,7,41020
2020,8,41550
2020,9,41980
2020,10,42410
2020,11,42900
2020,12,43320
2021,1,43480
2021,2,43790
2021,3,44100
2021,4,44320
2021,5,44560
2021,6,44820
2021,7,45090
2021,8,45330
2021,9,45640
2021,10,45900
2021,11,46210
2021,12,46520
2022,1,46610
2022,2,46850
2022,3,47090
2022,4,47250
2022,5,47560
2022,6,47890
2022,7,48210
2022,8,48450
2022,9,48720
2022,10,49010
2022,11,49340
2022,12,49620
2023,1,49850
2023,2,50090
2023,3,50340
2023,4,50610
2023,5,50890
2023,6,51120
2023,7,51380
2023,8,51640
2023,9,51950
2023,10,52210
2023,11,52490
2023,12,52710
2024,1,52900
2024,2,53120
2024,3,53410
2024,4,53650
2024,5,53980
2024,6,54230
2024,7,54480
2024,8,54700
2024,9,55020
2024,10,55340
2024,11,55610
2024,12,55890
2025,1,56120
2025,2,56380
2025,3,56710
2025,4,57920
2025,5,59240
2025,6,60310
2025,7,61250
2025,8,62410
2025,9,63780
2025,10,64390
2025,11,65120
2025,12,65870
